location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,org_acronym,org_name,org_type_description,sector_code,sector_name,reference_period_start,reference_period_end
AFG,True,True,Badakhshan,Arghanj Khwah,AF17,Badakhshan,AF1703,Arghanj Khwah,2,UNICEF,United Nations Children's Fund,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Arghanj Khwah,AF17,Badakhshan,AF1703,Arghanj Khwah,2,WADAN,Welfare Association for Development of Afghanistan,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Arghanj Khwah,AF17,Badakhshan,AF1703,Arghanj Khwah,2,WFP,World Food Programme,United Nations,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,AADA,Agency for Assistance and Development of Afghanistan,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,ACF,Action against Hunger,International NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,ACF - US,Action against Hunger - US,International NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,ACTED,Agency for Technical Cooperation and Development,International NGO,EDU,Education,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,ACTED,Agency for Technical Cooperation and Development,International NGO,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,ACTED,Agency for Technical Cooperation and Development,International NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,ACTED,Agency for Technical Cooperation and Development,International NGO,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,ACTED,Agency for Technical Cooperation and Development,International NGO,WSH,Water Sanitation Hygiene,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,ADWSO,Afghanistan Development & Welfare Services Organization,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,AKAH,Aga Khan Agency for Habitat,International NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,AKF,Aga Khan Foundation,International Organization,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,AKF,Aga Khan Foundation,International Organization,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,AKHS,Aga Khan Health Service,International NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,AKHS,Aga Khan Health Service,International NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,APWDO,Afghan Paramount Welfare and Development Organization,National NGO,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,BDN,Bakhtar Development Network,National NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,BDN,Bakhtar Development Network,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,CHA,Coordination of Humanitarian Assistance,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,CWW,Concern Worldwide,International NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,CWW,Concern Worldwide,International NGO,WSH,Water Sanitation Hygiene,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,HRDA,Human Resource Development Agency,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,IOM,International Organization for Migration,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,IOM,International Organization for Migration,United Nations,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,JACK,Just for Afghan Capacity and Knowledge,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,ME,Mission East,International NGO,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,ME,Mission East,International NGO,WSH,Water Sanitation Hygiene,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,OMAR,Organization for Mine Clearance and Afghan Rehabilitation,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,ORCD,Organization for Research and Community Development,National NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,ORCD,Organization for Research and Community Development,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,SUO,Social Uplift Organization,National NGO,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,UNFPA,United Nations Population Fund,United Nations,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,UNHCR,UN Refugee Agency,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,UNICEF,United Nations Children's Fund,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,UNICEF,United Nations Children's Fund,United Nations,WSH,Water Sanitation Hygiene,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,UNMAS,United Nations Mine Action Service,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,WADAN,Welfare Association for Development of Afghanistan,National NGO,EDU,Education,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Argo,AF17,Badakhshan,AF1702,Argo,2,WADAN,Welfare Association for Development of Afghanistan,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,ACF - US,Action against Hunger - US,International NGO,WSH,Water Sanitation Hygiene,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,ACHRO,Association of Chief Human Resource Officers,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,ACTED,Agency for Technical Cooperation and Development,International NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,ACTED,Agency for Technical Cooperation and Development,International NGO,WSH,Water Sanitation Hygiene,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,ADWSO,Afghanistan Development & Welfare Services Organization,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,AHDAA,Agency for Humanitarian Development Assistance for Afghanistan,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,AKAH,Aga Khan Agency for Habitat,International NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,AKAH,Aga Khan Agency for Habitat,International NGO,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,AKHS,Aga Khan Health Service,International NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,AKHS,Aga Khan Health Service,International NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,ALSO,Afghan Landmine Survivors Organisation,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,AWEC,Afghan Women's Education Center,National NGO,WSH,Water Sanitation Hygiene,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,AYSO,Afghan  Youth Service Organization,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,BARAN,Bu Ali Rehabilitation and Aid Network,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,BDN,Bakhtar Development Network,National NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,BDN,Bakhtar Development Network,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,BDN,Bakhtar Development Network,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,CHA,Coordination of Humanitarian Assistance,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,CHA,Coordination of Humanitarian Assistance,National NGO,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,CIC,Children in Crisis,International NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,DACAAR,Danish Committee for Aid to Afghan Refugees,International NGO,EDU,Education,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,DACAAR,Danish Committee for Aid to Afghan Refugees,International NGO,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,DACAAR,Danish Committee for Aid to Afghan Refugees,International NGO,WSH,Water Sanitation Hygiene,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,EMERGENCY,EMERGENCY NGO,International NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,HEWAD,Hewad Reconstruction on Health and Humanitarian Assistance Committee,National NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,HEWAD,Hewad Reconstruction on Health and Humanitarian Assistance Committee,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,IMC,International Medical Corps,International NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,IOM,International Organization for Migration,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,IOM,International Organization for Migration,United Nations,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,OCCD,Organization for Community Coordination of Development,National NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,ORCD,Organization for Research and Community Development,National NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,SI,Solidarities International,International NGO,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,UNFPA,United Nations Population Fund,United Nations,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,UNFPA,United Nations Population Fund,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,UNHCR,UN Refugee Agency,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,UNICEF,United Nations Children's Fund,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,WADAN,Welfare Association for Development of Afghanistan,National NGO,EDU,Education,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,WADAN,Welfare Association for Development of Afghanistan,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,WAW,Women for Afghan Women,International NGO,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,WFP,World Food Programme,United Nations,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Baharak,AF17,Badakhshan,AF1706,Baharak,2,YHDO,Youth Health and Development Organization,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darayem,AF17,Badakhshan,AF1707,Darayem,2,ACF - US,Action against Hunger - US,International NGO,WSH,Water Sanitation Hygiene,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darayem,AF17,Badakhshan,AF1707,Darayem,2,ACTED,Agency for Technical Cooperation and Development,International NGO,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darayem,AF17,Badakhshan,AF1707,Darayem,2,ACTED,Agency for Technical Cooperation and Development,International NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darayem,AF17,Badakhshan,AF1707,Darayem,2,ACTED,Agency for Technical Cooperation and Development,International NGO,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darayem,AF17,Badakhshan,AF1707,Darayem,2,AKAH,Aga Khan Agency for Habitat,International NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darayem,AF17,Badakhshan,AF1707,Darayem,2,AKAH,Aga Khan Agency for Habitat,International NGO,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darayem,AF17,Badakhshan,AF1707,Darayem,2,AKAH,Aga Khan Agency for Habitat,International NGO,WSH,Water Sanitation Hygiene,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darayem,AF17,Badakhshan,AF1707,Darayem,2,AKF,Aga Khan Foundation,International Organization,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darayem,AF17,Badakhshan,AF1707,Darayem,2,AKHS,Aga Khan Health Service,International NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darayem,AF17,Badakhshan,AF1707,Darayem,2,AKHS,Aga Khan Health Service,International NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darayem,AF17,Badakhshan,AF1707,Darayem,2,APWDO,Afghan Paramount Welfare and Development Organization,National NGO,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darayem,AF17,Badakhshan,AF1707,Darayem,2,AYSO,Afghan  Youth Service Organization,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darayem,AF17,Badakhshan,AF1707,Darayem,2,BARAN,Bu Ali Rehabilitation and Aid Network,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darayem,AF17,Badakhshan,AF1707,Darayem,2,BDN,Bakhtar Development Network,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darayem,AF17,Badakhshan,AF1707,Darayem,2,CHA,Coordination of Humanitarian Assistance,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darayem,AF17,Badakhshan,AF1707,Darayem,2,IATO,Improvement of Agriculture Training Organization,National NGO,EDU,Education,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darayem,AF17,Badakhshan,AF1707,Darayem,2,IOM,International Organization for Migration,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darayem,AF17,Badakhshan,AF1707,Darayem,2,IOM,International Organization for Migration,United Nations,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darayem,AF17,Badakhshan,AF1707,Darayem,2,ME,Mission East,International NGO,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darayem,AF17,Badakhshan,AF1707,Darayem,2,ME,Mission East,International NGO,WSH,Water Sanitation Hygiene,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darayem,AF17,Badakhshan,AF1707,Darayem,2,OMAR,Organization for Mine Clearance and Afghan Rehabilitation,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darayem,AF17,Badakhshan,AF1707,Darayem,2,UNHCR,UN Refugee Agency,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darayem,AF17,Badakhshan,AF1707,Darayem,2,UNICEF,United Nations Children's Fund,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darayem,AF17,Badakhshan,AF1707,Darayem,2,UNMAS,United Nations Mine Action Service,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darayem,AF17,Badakhshan,AF1707,Darayem,2,WADAN,Welfare Association for Development of Afghanistan,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darwaz-e-Balla,AF17,Badakhshan,AF1727,Darwaz-e-Balla,2,ACF - US,Action against Hunger - US,International NGO,WSH,Water Sanitation Hygiene,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darwaz-e-Balla,AF17,Badakhshan,AF1727,Darwaz-e-Balla,2,AKAH,Aga Khan Agency for Habitat,International NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darwaz-e-Balla,AF17,Badakhshan,AF1727,Darwaz-e-Balla,2,AKAH,Aga Khan Agency for Habitat,International NGO,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darwaz-e-Balla,AF17,Badakhshan,AF1727,Darwaz-e-Balla,2,AKF,Aga Khan Foundation,International Organization,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darwaz-e-Balla,AF17,Badakhshan,AF1727,Darwaz-e-Balla,2,AKHS,Aga Khan Health Service,International NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darwaz-e-Balla,AF17,Badakhshan,AF1727,Darwaz-e-Balla,2,AKHS,Aga Khan Health Service,International NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darwaz-e-Balla,AF17,Badakhshan,AF1727,Darwaz-e-Balla,2,APWDO,Afghan Paramount Welfare and Development Organization,National NGO,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darwaz-e-Balla,AF17,Badakhshan,AF1727,Darwaz-e-Balla,2,BARAN,Bu Ali Rehabilitation and Aid Network,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darwaz-e-Balla,AF17,Badakhshan,AF1727,Darwaz-e-Balla,2,BDN,Bakhtar Development Network,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darwaz-e-Balla,AF17,Badakhshan,AF1727,Darwaz-e-Balla,2,CHA,Coordination of Humanitarian Assistance,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darwaz-e-Balla,AF17,Badakhshan,AF1727,Darwaz-e-Balla,2,IOM,International Organization for Migration,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darwaz-e-Balla,AF17,Badakhshan,AF1727,Darwaz-e-Balla,2,ME,Mission East,International NGO,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darwaz-e-Balla,AF17,Badakhshan,AF1727,Darwaz-e-Balla,2,OMAR,Organization for Mine Clearance and Afghan Rehabilitation,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darwaz-e-Balla,AF17,Badakhshan,AF1727,Darwaz-e-Balla,2,UNHCR,UN Refugee Agency,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darwaz-e-Balla,AF17,Badakhshan,AF1727,Darwaz-e-Balla,2,UNICEF,United Nations Children's Fund,United Nations,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darwaz-e-Balla,AF17,Badakhshan,AF1727,Darwaz-e-Balla,2,WADAN,Welfare Association for Development of Afghanistan,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darwaz-e-Balla,AF17,Badakhshan,AF1727,Darwaz-e-Balla,2,WHO,World Health Organization,United Nations,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darwaz-e-Balla,AF17,Badakhshan,AF1727,Darwaz-e-Balla,2,WHO,World Health Organization,United Nations,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darwaz-e-Payin,AF17,Badakhshan,AF1722,Darwaz-e-Payin,2,ACF - US,Action against Hunger - US,International NGO,WSH,Water Sanitation Hygiene,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darwaz-e-Payin,AF17,Badakhshan,AF1722,Darwaz-e-Payin,2,ADWSO,Afghanistan Development & Welfare Services Organization,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darwaz-e-Payin,AF17,Badakhshan,AF1722,Darwaz-e-Payin,2,AKAH,Aga Khan Agency for Habitat,International NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darwaz-e-Payin,AF17,Badakhshan,AF1722,Darwaz-e-Payin,2,AKAH,Aga Khan Agency for Habitat,International NGO,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darwaz-e-Payin,AF17,Badakhshan,AF1722,Darwaz-e-Payin,2,AKF,Aga Khan Foundation,International Organization,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darwaz-e-Payin,AF17,Badakhshan,AF1722,Darwaz-e-Payin,2,AKHS,Aga Khan Health Service,International NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Darwaz-e-Payin,AF17,Badakhshan,AF1722,Darwaz-e-Payin,2,AKHS,Aga Khan Health Service,International NGO,NUT,Nutrition,2025-07-01,2025-09-30
